N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,44,E_urophylla,432,2,12.9,11,
2,44,E_urophylla,432,3,11.5,10.8,
2,44,E_urophylla,432,4,6.5,10.6,
2,44,E_urophylla,432,5,9.9,10.7,
2,44,E_urophylla,432,6,13,10.8,
2,44,E_urophylla,432,7,11.5,11,8
2,44,E_urophylla,432,8,13.5,11.6,
2,44,E_urophylla,432,9,12,11,
2,44,E_urophylla,432,10,9.8,12.5,
2,44,E_urophylla,432,11,9.5,12.6,
2,44,E_urophylla,432,12,14.9,15.6,
2,44,E_urophylla,432,13,12.5,12.6,
2,44,E_urophylla,432,14,11.1,11.6,
2,44,E_urophylla,432,15,12,11.6,
2,44,E_urophylla,432,16,11.2,11,
2,44,E_urophylla,432,17,10,11,
2,44,E_urophylla,432,18,16.1,13.6,
2,44,E_urophylla,432,19,13.9,11,
