N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod,Cod2
44,65,E_camaldulensis,960,118,14.96056465,19.6,,
44,65,E_camaldulensis,960,119,9.262817688,14,,
44,65,E_camaldulensis,960,120,14.8332407,20.5,,
44,65,E_camaldulensis,960,121,12.66873347,16.2,,
44,65,E_camaldulensis,960,122,14.00563499,22.6,,
44,65,E_camaldulensis,960,123,11.65014183,14.5,,
44,65,E_camaldulensis,960,124,14.16478994,18.4,,
44,65,E_camaldulensis,960,125,12.73239545,18.6,,
44,65,E_camaldulensis,960,126,,,1,
44,65,E_camaldulensis,960,127,12.35042358,14.3,,
44,65,E_camaldulensis,960,128,8.721690881,14.3,,
44,65,E_camaldulensis,960,129,9.931268449,12.9,,
44,65,E_camaldulensis,960,130,10.69521218,18,,
44,65,E_camaldulensis,960,131,8.912676813,15.3,,
44,65,E_camaldulensis,960,132,13.56000115,20,,
44,65,E_camaldulensis,960,133,8.339719018,12.7,,
44,65,E_camaldulensis,960,134,0.954929659,,20,
44,65,E_camaldulensis,960,135,9.135493733,13.8,,
44,65,E_camaldulensis,960,136,13.1461983,17.9,,
44,65,E_camaldulensis,960,137,15.62901541,22.7,,
44,65,E_camaldulensis,960,138,10.88619811,14.2,,
44,65,E_camaldulensis,960,139,10.3450713,13.8,,
44,65,E_camaldulensis,960,140,3.533239737,6.6,7,
44,65,E_camaldulensis,960,141,12.0321137,15.7,,
44,65,E_camaldulensis,960,142,3.437746771,7.8,7,
44,65,E_camaldulensis,960,143,12.41408556,18.8,,
44,65,E_camaldulensis,960,144,6.46169069,11.9,,
44,65,E_camaldulensis,960,145,12.15943765,20.7,,
44,65,E_camaldulensis,960,146,9.071831756,11.7,,
44,65,E_camaldulensis,960,147,14.96056465,21.5,,
44,65,E_camaldulensis,960,148,13.36901522,21.1,,
44,65,E_camaldulensis,960,149,11.55464887,16,,
44,65,E_camaldulensis,960,150,10.50422624,13,,
44,65,E_camaldulensis,960,151,7.130141451,9.3,,
44,65,E_camaldulensis,960,152,12.60507149,18.1,,
44,65,E_camaldulensis,960,153,10.28140932,13.5,,
44,65,E_camaldulensis,960,154,10.53605723,17,,
44,65,E_camaldulensis,960,155,12.00028271,14.9,,
44,65,E_camaldulensis,960,156,,,1,
44,65,E_camaldulensis,960,157,16.61577606,20,6,
44,65,E_camaldulensis,960,158,13.81464906,18,,
44,65,E_camaldulensis,960,159,11.04535305,16.1,,
44,65,E_camaldulensis,960,160,10.47239526,16.8,,
44,65,E_citriodora,960,1,11.77746579,17.5,,
44,65,E_citriodora,960,2,7.894085177,14.8,,
44,65,E_citriodora,960,3,6.525352667,11.6,,
44,65,E_citriodora,960,4,6.270704758,12.2,,
44,65,E_citriodora,960,5,4.83831027,8.5,,
44,65,E_citriodora,960,6,12.82788841,18,,
44,65,E_citriodora,960,7,6.398028712,11.9,,
44,65,E_citriodora,960,8,3.501408748,6.7,,
